id,status,created,cardId,holderId,amount,merchantName,merchantCategoryType,workspaceId
6526920292302848,denied,2024-08-19 19:23:25.684853 UTC,6120924482895872,6436057776128000,600,RB EMPREENDIMENTOS TUR,hotels,5506710584164352
5181209059524608,denied,2024-08-19 19:09:36.706781 UTC,6120924482895872,6436057776128000,600,RB EMPREENDIMENTOS TUR,hotels,5506710584164352
6044901582045184,denied,2024-08-19 19:06:07.294333 UTC,6120924482895872,6436057776128000,600,RB EMPREENDIMENTOS TUR,hotels,5506710584164352
6223425823571968,denied,2024-08-19 19:02:49.960943 UTC,6120924482895872,6436057776128000,600,RB EMPREENDIMENTOS TUR,hotels,5506710584164352
5251577803702272,denied,2024-08-19 18:59:02.361198 UTC,6120924482895872,6436057776128000,600,RB EMPREENDIMENTOS TUR,hotels,5506710584164352
6678220279644160,denied,2024-08-19 18:57:35.27923 UTC,6120924482895872,6436057776128000,600,RB EMPREENDIMENTOS TUR,hotels,5506710584164352
6418563501916160,denied,2024-08-05 15:00:30.217122 UTC,5084381773299712,5653334832709632,4406489,ORDEM DOIDA,services,5506710584164352
6156342595158016,confirmed,2024-08-05 15:00:28.435909 UTC,6206395724595200,5663631916138496,911216,AMAZON,retail,4800539376222208
5636902606602240,denied,2024-08-05 15:00:27.605282 UTC,6158986332078080,5723947190452224,1863137,GOOGLE CLOUD PLATFORM,services,6301997028343808
5739520817364992,confirmed,2024-08-05 15:00:27.329245 UTC,5650928946380800,5663631916138496,3431602,GOOGLE CLOUD PLATFORM,services,4800539376222208
6377196490850304,denied,2024-08-05 15:00:26.859643 UTC,5325522896683008,5723947190452224,1722016,FACEBOOK,hotels,6301997028343808
5518362381647872,denied,2024-08-05 15:00:26.722479 UTC,4755284199211008,5653334832709632,278631,IFOOD,retail,5506710584164352
6507235651878912,denied,2024-08-05 15:00:25.429794 UTC,5110309282906112,6024451665690624,2293210,AWS,hotels,5506710584164352
6351970906406912,denied,2024-08-04 15:01:35.966519 UTC,6356348417605632,6356426616209408,37106975,GCP,retail,5506710584164352
4941332317470720,denied,2024-08-04 15:01:33.245009 UTC,4755284199211008,5653334832709632,9859098,IFOOD,retail,5506710584164352
5731667637436416,denied,2024-08-04 15:01:30.598204 UTC,4647528301592576,5405946780057600,5707370,PARCELADO,services,5506710584164352
4800594829115392,confirmed,2024-08-04 15:00:35.076333 UTC,6206395724595200,5663631916138496,2405962,AMAZON,retail,4800539376222208
6113261791477760,denied,2024-08-04 15:00:34.980172 UTC,5325522896683008,5723947190452224,3263678,FACEBOOK,hotels,6301997028343808
4628770333917184,confirmed,2024-08-04 15:00:31.092005 UTC,5650928946380800,5663631916138496,5046261,GOOGLE CLOUD PLATFORM,services,4800539376222208
5082069805826048,denied,2024-08-04 15:00:31.078607 UTC,6158986332078080,5723947190452224,797804,GOOGLE CLOUD PLATFORM,services,6301997028343808
6115112049967104,denied,2024-08-03 15:00:33.925309 UTC,6613311479087104,6024083254804480,6022928,TTFEI LTDA.,clothing,5506710584164352
5833637073256448,confirmed,2024-08-03 15:00:32.374757 UTC,6206395724595200,5663631916138496,8937142,AMAZON,retail,4800539376222208
6364299140268032,denied,2024-08-03 15:00:32.18491 UTC,5325522896683008,5723947190452224,332943,FACEBOOK,hotels,6301997028343808
6375060650590208,confirmed,2024-08-03 15:00:31.970072 UTC,5650928946380800,5663631916138496,6808042,GOOGLE CLOUD PLATFORM,services,4800539376222208
6537324515033088,denied,2024-08-03 15:00:31.790928 UTC,6158986332078080,5723947190452224,249756,GOOGLE CLOUD PLATFORM,services,6301997028343808
4881695589269504,denied,2024-08-03 15:00:31.030103 UTC,5420209343037440,5000776493563904,4356506,STARLINK,hotels,5506710584164352
5337743571812352,denied,2024-08-03 15:00:30.85447 UTC,5134431211749376,5870416807591936,6542278,GOOGLE,hotels,5506710584164352
5639145451945984,denied,2024-08-02 15:00:38.264454 UTC,6613311479087104,6024083254804480,8745616,TTFEI LTDA.,retail,5506710584164352
5491966317953024,denied,2024-08-02 15:00:35.512496 UTC,5768546659336192,5716938466525184,6499372,MERCHANT CHIQUE,services,5506710584164352
6518995272335360,denied,2024-08-02 15:00:34.347489 UTC,5325522896683008,5723947190452224,2362460,FACEBOOK,hotels,6301997028343808
5534843580448768,canceled,2024-08-02 15:00:33.35976 UTC,6206395724595200,5663631916138496,0,AMAZON,retail,4800539376222208
5176630490169344,denied,2024-08-02 15:00:33.240388 UTC,4590639580708864,5398614683680768,30497065,DANDO RUIM MAS BOM,services,5506710584164352
